Type,Size (bytes),O0_U1_ms,O0_Best_U,O0_Best_ms,O0_Speedup,O2_U1_ms,O2_Best_U,O2_Best_ms,O2_Speedup,Compiler_Speedup,Total_Speedup,BW_Limit_ms,BW_Efficiency_%
double,8,2.737329,4,2.637379,1.0378974732110933,1.17454,8,0.732096,1.6043524346533788,2.3305540892604766,3.7390301271964335,0.26666666666666666,36.42509543375004
float,4,2.669109,4,2.625325,1.0166775542075743,0.791419,16,0.751743,1.0527786756910273,3.372561184404216,3.550560497404033,0.13333333333333333,17.736558016946393
int,4,2.123078,16,0.631273,3.363169341948729,0.352722,16,0.156329,2.2562800248194512,6.0191255436292606,13.580832730971222,0.13333333333333333,85.29021060285254
short,2,2.039408,16,0.597158,3.4151899497285476,0.166498,16,0.151138,1.1016289748441823,12.248843829955915,13.49368127142082,0.06666666666666667,44.109798109454054
