type,U,ms,sum
double,1,2.737329,500006.610053
double,2,2.684748,500006.610053
double,4,2.637379,500006.610053
double,8,2.702713,500006.610053
double,16,2.666093,500006.610053
double,32,2.680872,500006.610053
float,1,2.669109,500003.750000
float,2,2.672065,500003.750000
float,4,2.625325,500003.750000
float,8,2.651726,500003.750000
float,16,2.649873,500003.750000
float,32,2.636406,500003.750000
int,1,2.123078,49498583
int,2,1.202413,49498583
int,4,0.742896,49498583
int,8,0.655550,49498583
int,16,0.631273,49498583
int,32,0.662202,49498583
short,1,2.039408,49498583
short,2,1.115216,49498583
short,4,0.733418,49498583
short,8,0.630472,49498583
short,16,0.597158,49498583
short,32,0.662644,49498583
