U,ms,sum
1,0.845941,500006.610053
2,0.437102,500006.610053
3,0.408438,500006.610053
4,0.384722,500006.610053
5,0.381918,500006.610053
6,0.400021,500006.610053
7,0.394692,500006.610053
8,0.372760,500006.610053
9,0.431883,500006.610053
10,0.576638,500006.610053
11,0.452752,500006.610053
12,0.390464,500006.610053
13,0.414299,500006.610053
14,0.377740,500006.610053
15,0.376788,500006.610053
16,0.455397,500006.610053
17,0.385534,500006.610053
18,0.413297,500006.610053
19,0.413428,500006.610053
20,0.433476,500006.610053
21,0.383259,500006.610053
22,0.375014,500006.610053
23,0.410592,500006.610053
24,0.376226,500006.610053
25,0.402827,500006.610053
26,0.374814,500006.610053
27,0.375224,500006.610053
28,0.407396,500006.610053
29,0.469975,500006.610053
30,0.559986,500006.610053
31,0.581738,500006.610053
32,0.540810,500006.610053
