N,Processors,fs,Amdahl_Speedup,Gustafson_Speedup,Efficiency
5000000,1,0.3071556435047208,1.0,1.0,1.0
5000000,2,0.3071556435047208,1.53003967808886,1.692844356495279,0.76501983904443
5000000,4,0.3071556435047208,2.0817428270439433,3.0785330694858377,0.5204357067609858
5000000,8,0.3071556435047208,2.539610378844103,5.849910495466954,0.31745129735551286
5000000,16,0.3071556435047208,2.853405582394557,11.392665347429187,0.1783378488996598
5000000,32,0.3071556435047208,3.0412975083867813,22.478175051353656,0.09504054713708691
5000000,64,0.3071556435047208,3.14483865868104,44.64919445920259,0.04913810404189125
10000000,1,0.3074233746808123,1.0,1.0,1.0
10000000,2,0.3074233746808123,1.5297263600540032,1.6925766253191876,0.7648631800270016
10000000,4,0.3074233746808123,2.080873000090228,3.077729875957563,0.520218250022557
10000000,8,0.3074233746808123,2.5381003582079447,5.848036377234314,0.3172625447759931
10000000,16,0.3074233746808123,2.8513634386644306,11.388649379787815,0.17821021491652692
10000000,32,0.3074233746808123,3.0389004090318985,22.46987538489482,0.09496563778224683
10000000,64,0.3074233746808123,3.142234326008892,44.632327395108824,0.04909741134388894
100000000,1,0.3074233746808123,1.0,1.0,1.0
100000000,2,0.3074233746808123,1.5297263600540032,1.6925766253191876,0.7648631800270016
100000000,4,0.3074233746808123,2.080873000090228,3.077729875957563,0.520218250022557
100000000,8,0.3074233746808123,2.5381003582079447,5.848036377234314,0.3172625447759931
100000000,16,0.3074233746808123,2.8513634386644306,11.388649379787815,0.17821021491652692
100000000,32,0.3074233746808123,3.0389004090318985,22.46987538489482,0.09496563778224683
100000000,64,0.3074233746808123,3.142234326008892,44.632327395108824,0.04909741134388894
